20
AP01W1234,1,2018-08-06T15:23:13.425
AP02QQ1234,0,2018-08-06T15:23:13.425
AP01W1234,1,2018-08-06T15:23:13.425
AP02QQ1234,0,2018-08-06T15:23:13.425
AP02AQ1234,2,2018-08-06T15:23:13.425
AP01W1234,1,2018-08-06T15:23:20.650
AP02QQ1234,0,2018-08-06T15:23:20.650
AP01W1234,1,2018-08-06T15:23:20.650
AP02QQ1234,0,2018-08-06T15:23:20.650
AP02AQ1234,2,2018-08-06T15:23:20.650
AP01W1234,1,2018-08-06T15:23:30.186
AP02QQ1234,0,2018-08-06T15:23:30.186
AP01W1234,1,2018-08-06T15:23:30.186
AP02QQ1234,0,2018-08-06T15:23:30.186
AP02AQ1234,2,2018-08-06T15:23:30.186
